0.000000000	silence
1.201632653	A, a
7.630748299	b
13.431609977	a
19.444829931	b
25.264104308	B, c
31.144671201	d
36.955102040	A, e
42.943900226	f
49.084172335	B, c
54.880204081	d
60.807800453	A, e
66.896031746	f
73.832199546	C, g
86.136077097	g
98.432653061	D, h
104.603832199	i
110.582040816	j
116.587687074	C, g
129.028027210	D, h
135.308866213	i
141.260430839	j
147.185668934	C, g
159.615714285	k
165.517573696	l
171.763265306	A, a
178.285873015	b
184.278231292	B, c
190.178684807	d
196.006122448	A, e
202.118095238	f
209.134126984	silence
214.143129251	end
