0.000000000	silence
1.054784580	A, a
7.093877551	B, b
13.269387755	c
19.395918367	b'
25.432653061	d
31.432653061	B, b
37.473469387	c
43.530612244	b'
49.575510204	d
55.555102040	C, e
61.559183673	f
67.485714285	e
73.390839002	g
79.204081632	C, e
85.024489795	f
90.807029478	e
96.567346938	g
102.262721088	D, h
107.967346938	h'
113.714285714	h
119.440816326	i
125.175510204	D, h
130.881632653	h'
136.583673469	h
142.285714285	g
148.247165532	E, j
153.877551020	k
159.485714285	j
165.181632653	k
170.432653061	F, l
176.097959183	o
181.700000000	l
187.300000000	o
192.930612244	G, m
198.617687074	m'
204.260136054	m
209.951564625	m''
215.711201814	silence
217.980045351	end
