0.000000000	silence
0.746961451	A, a, intro, (guitar
8.289523809	b
14.530612244	c, guitar)
18.616326530	B, d, verse, (horns
28.995918367	e
39.200000000	f
49.428571428	g
59.836712018	B, d, verse
70.106122448	e
80.448979591	f
90.782040816	g, horns)
101.142857142	B, d, verse, (voice
111.404081632	e
121.689795918	f
132.065306122	g
142.534489795	B, d, verse
152.808163265	e
163.028571428	f
173.387755102	g, voice)
183.795918367	C, f, outro, (horns
194.016326530	g, horns)
204.172358276	silence
205.565804988	end
