0.000000000	silence
1.592267573	A, a
6.464716553	b
10.928299319	A, a
15.272131519	b
19.600249433	B, c
23.968208616	c
28.488752834	C, d
32.872176870	e
37.400657596	B, c
41.842743764	c
46.312403628	C, d
50.806916099	e
55.320272108	G, f
60.184421768	D, g
65.008435374	h
69.768208616	i
74.695555555	j
79.451678004	D, g
84.604081632	h
89.768344671	i
95.016054421	j
100.163560090	E, k
105.071133786	l
109.905895691	k
114.735011337	l'
119.631043083	D, f
124.758911564	g
129.918843537	h
135.135147392	i
140.250136054	F, m
145.503197278	m
150.654897959	n
155.713015873	o
159.625283446	A, a
164.449160997	b
169.289070294	B, c
174.185419501	c
179.049183673	C, d
183.873106575	e'
196.129319727	silence
202.898208616	end
