0.000000000	silence
0.626938775	A, a
5.677278911	b
10.595918367	a
15.591836734	c
20.628571428	A, a
25.775510204	b
30.884852607	a
35.999002267	c
41.114285714	D, d
46.240816326	d
51.285714285	d
56.330612244	e
61.351020408	D, d
66.359183673	d
71.302040816	d
76.261224489	e
81.159183673	A, a
86.216326530	b
91.175510204	a
96.138775510	c
101.202857142	F, f
106.219138321	g
111.097959183	f'
115.971428571	h
120.726530612	F, f
125.583673469	g
130.412244897	f'
135.386848072	h
140.081632653	J, j
144.742857142	j'
149.444897959	k
154.285714285	l
159.892607709	silence
160.579773242	end
