0.000000000	silence
0.946938775	A, a
8.563265306	B, b
15.313378684	c
21.825895691	b
28.265260770	c'
34.914285714	B, b
41.312698412	c
47.552970521	b
53.848707482	c'
60.121088435	C, d
66.504671201	e
72.640544217	d
79.044399092	f
85.181587301	C, d
91.238458049	e
97.203854875	d
103.538639455	f
109.762857142	B, b
116.234739229	c
122.346530612	b
128.535056689	c'
134.986439909	D, g
140.882630385	h
146.682721088	g
152.554149659	i
158.291156462	D, g
164.178775510	h
169.674784580	g
175.401451247	i
181.123900226	E, j
186.907664399	k
192.531428571	j
198.164263038	l
204.099546485	E, j
209.576916099	k
215.204580498	j
220.315600907	l
225.967482993	# final note
229.963537414	silence
232.238185941	end
