0.000000000	silence
0.626077097	A, a
3.672063492	p
6.703129251	B, b
12.847301587	c
19.016598639	d
25.174557823	B, b
31.344217687	c
37.529433106	d
43.760770975	C, e
50.280816326	c
56.436507936	d
62.719954648	C, f
69.152108843	c
75.415419501	d
81.600680272	D, h
88.040272108	i
94.448208616	j
100.896099773	D, h
107.211156462	i
113.553378684	j
119.866757369	E, k
144.541995464	D, h
150.953786848	i
157.360408163	j
163.753151927	B, b
170.015555555	c
176.200136054	d
182.269569160	F, m
189.323900226	silence
189.903401360	end
