0.000000000	silence
1.289795918	A, a
5.149546485	b
8.797165532	a
12.485056689	b
16.086258503	B, c
19.789365079	d
23.488480725	c
27.197414965	e
30.888594104	A, a
34.557392290	b
38.205759637	a
41.941337868	b
45.560521541	B, c
49.261655328	d
52.869501133	c
56.525419501	e
60.255464852	C, f
67.605487528	g
75.054308390	f
82.517414965	h
89.913219954	C, f
97.405260770	g
104.941609977	f
112.357210884	h
119.789591836	A, a
123.533378684	b
127.181292517	a
130.960498866	b
134.525374149	B, c
138.317437641	d
141.957414965	c
145.661383219	e
149.285827664	A, a
153.088140589	b
156.661451247	a
160.418639455	b
164.093492063	B, c
167.823990929	d
171.477392290	c
175.149365079	e
178.824557823	C, f
186.305555555	g
193.794852607	f
201.256145124	h
208.645487528	C, f
216.205804988	g
223.673786848	f
231.213242630	h
238.743401360	# D, i
239.493877551	silence
241.229115646	end
