0.000000000	silence
0.551882086	A, a
5.689795918	b
10.623764172	B, c
15.575827664	d
20.391746031	c
25.300317460	d
30.095782312	C, e
34.967709750	f
39.751655328	B, c
44.599954648	d
49.295736961	D, c
54.168027210	d
58.959818594	c
63.859591836	d
68.695736961	E, e
73.604444444	f
78.304897959	D, c
83.191791383	d
88.038049886	F, j
93.057324263	k
97.936099773	j
102.863809523	l
107.576099773	F, j
112.584036281	k
117.423854875	j
122.406938775	l
127.185170068	B, c
132.155192743	d
136.912108843	c
141.818185941	d
146.640090702	C, e
151.535918367	f
156.423990929	B, c
161.263809523	d
166.009841269	G, m
175.624852607	silence
176.150839002	end
