0.000000000	silence
1.219047619	A, a
4.248956916	a
7.241065759	b
13.249160997	A, a
16.264897959	a
19.202585034	b
25.204988662	B, c
31.232925170	c'
37.208866213	d
49.120861678	B, c
55.201700680	c'
61.137936507	d
73.272879818	C, e
79.320272108	f
91.160272108	C, e
97.271428571	f
109.393492063	D, g
115.593015873	h
121.563174603	i
130.745260770	D, g
136.940385487	h
143.088934240	i
152.881473922	A, a
156.024920634	a
159.153083900	b
165.132539682	B, c
171.258752834	c'
177.218639455	d
191.058843537	silence
195.426213151	end
