0.000000000	silence
0.646870748	A, a
7.602471655	B, b
12.005714285	c
16.448730158	b
20.775056689	c
25.160136054	C, d
29.544081632	d
33.906009070	e
38.239727891	d
42.623696145	B, b
46.863900226	c
51.211700680	b
55.480000000	c
59.807800453	C, d
64.135963718	d
68.447845804	e
72.744603174	d
77.095600907	B, b
81.343764172	c
85.747006802	b
90.032154195	c
94.303990929	D, f
98.592562358	g
102.950680272	h
107.280045351	i
111.560113378	D, f
115.951337868	g
120.185691609	h
124.543877551	i
128.840113378	D, f
133.247845804	g
137.585782312	h
141.832244897	i
146.104126984	D, f
150.416077097	g
154.687913832	h
158.943741496	i
163.280158730	D, f
167.576349206	g
171.848095238	h
176.159750566	i
180.840045351	silence
181.845986394	end
