0.000000000	silence
3.457959183	A, a
9.021564625	b
15.069750566	B, c
20.260317460	c'
24.822131519	A, a
30.203990929	b
35.380090702	B, c
40.212244897	c''
45.324489795	C, d
50.004036281	d'
55.193832199	A, a'
60.044172335	b'
68.382766439	B, c
73.154013605	c'''
78.444058956	C, d
82.846303854	d'
87.795850340	A, a'
92.468253968	b'
100.519183673	B, c
105.163990929	c'''
110.503764172	D, f
115.620181405	f'
120.395464852	f
125.316371882	f'
130.148004535	E, g
134.484081632	g'
138.692789115	h
142.590589569	i
149.203968253	A, a
153.892539682	b
158.870929705	B, c
163.628027210	c''
168.452403628	C, d
172.587981859	d'
177.377233560	A, a'
181.956303854	b''
190.008888888	B, c
195.236394557	c'''
199.947029478	A', a''
204.149841269	b'''
208.352653061	k
213.784036281	k'
219.124172335	l
232.653061224	silence
234.881201814	end
